책 이름,작가,장르,ISBN,책 소개,,
숏폼 영상 편집 제작 및 수익 창출 with 캡컷,채수창,"국내도서
 > 
컴퓨터/IT
 > 
멀티미디어
 > 
멀티미디어일반",9.79119E+12,"캡컷을 활용해 유튜브 쇼츠부터 틱톡, 릴스 등 다양한 숏폼 영상 편집 제작부터 수익 창출까지 한 권에 모두 담았습니다!
이 책은 캡컷(CapCut)을 활용해 숏폼 영상을 쉽고 빠르게 제작하고 수익을 창출하는 전략까지 소개한 숏폼 영상 제작 활용 가이드입니다. 숏폼 영상뿐만 아니라 유튜브 채널을 성장시키기 위한 채널 전략과 생성형 AI(ChatGTP, 뤼튼, 구글의 Bard, Vrew, Fliki 등)를 활용해 유튜브 쇼츠 영상 대본과 제작 방법도 자세히 담았습니다. 이 책은 쇼츠, 틱톡, 릴스 등 숏폼 중에서 사용자층이 가장 많은 쇼츠(Shorts)를 중심으로 단계별로 쉽게 숏폼 영상을 따라 만들 수 있도록 설명하였습니다. 책은 쇼츠 제작의 기본부터 전략적인 활용법까지, 단계별로 쉽게 따라 할 수 있도록 설명합니다. 또한, 성공적인 Shorts 채널 운영을 위한 다양한 팁과 노하우를 제공합니다. 이 책의 전체적인 실습은 쇼츠(Shorts)를 중심으로 설명하지만, 쇼츠(Shorts) 영상 콘텐츠를 만들어서 틱톡, 릴스 등 다른 플랫폼에서도 활용할 수 있도록 만드는 것이 이 책의 콘텐츠 제작 최종 목적입니다. 이 책은 이런 분께 강력 추천합니다. - 숏폼 영상(쇼츠, 틱톡, 릴스) 제작에 관심 있는 분- 유튜브 채널 성장에 어려움을 겪는 분 - 쇼츠에 대한 기본적인 이해를 쌓고 싶은 분- 생성형 AI로 숏폼 영상과 대본을 만들어 보고 싶은 분- 캡컷(Capcut)을 활용해서 숏폼 영상을 멋지게 만들고 싶은 분- 쇼츠, 숏폼으로 수익 창출을 직접 경험해보고 싶은 분 이 책의 실습에 필요한 책 소스 파일과 긴급 공지 사항 및 정오표 같은 안내 사항은 앤써북 공식 카페의 책 전용 게시판을 통해서 확인할 수 있습니다. - 앤써북 공식 카페의 책 전용 게시판 : https://cafe.naver.com/answerbook/5838이 책의 실습에 대한 저자 직강 동영상 강의를 제공하며 책 내용을 조금 더 쉽게 이해할 수 있도록 노하우를 공개하였습니다. 책 내용만으로도 충분하지만 혼자서 실습하기 어려운 경우 앤써북 카페 동영상 강의 채널 가이드 주소에 접속하시면 동영상 강의(유료)를 보실 수 있는 채널을 안내받을 수 있습니다. - 동영상 강의 채널 가이드 주소 : https://cafe.naver.com/answerbook/5521",,
Start up 시리즈 숏폼 영상 편집 3일 만에 마스터하기 with 캡컷(Capcut),김근아,"국내도서
 > 
컴퓨터/IT
 > 
멀티미디어
 > 
멀티미디어일반",9.79119E+12,"남녀노소를 막론하고 온라인 상에서 SNS 취미 생활을 즐기는 사람이 폭발적으로 늘어나고 있습니다. 이 책은 가장 인기 있는 앱인 캡컷을 이용하여 사진이나 동영상을 보다 쉽게 편집하여 자신만의 매력적인 영상으로 만드는 방법을 담았습니다.특히, 요즘 대세로 떠오른 숏폼 영상을 위해 틱톡, 유튜브 쇼츠, 인스타 릴스에 올리는 방법도 같이 담았습니다.",,
내 맘대로 그리는 캐릭터 이모티콘 with 프로크리에이트,이지원,"국내도서
 > 
컴퓨터/IT
 > 
멀티미디어
 > 
스마트폰/태블릿",9.79119E+12,"낙서처럼 단순한 캐릭터도 이모티콘으로 제작하여 승인받을 수 있다!
예비 캐릭터 이모티콘 작가를 위한 맞춤 가이드로, 복잡한 정보는 최소화하고 기획부터 출시까지 꼭 알아야 할 이모티콘 만들기의 핵심 비결만 담았다. 또한 이모티콘을 만드는 과정에서 무조건 겪는 ‘미승인’된 파일을 개선하는 방법, 포토샵으로 이모티콘 제안용 파일을 마무리하는 방법 등 실전에서 낙담하기 쉬운 순간을 헤쳐나갈 꿀팁을 공개한다. 나아가 캐릭터 브랜드를 운영하는 저자가 프리랜서 생활을 시작하게 된 이유와 현직 이모티콘 작가들의 고충과 응원을 담은 인터뷰 등 생생한 이야기를 담았다. 이 책과 함께 아이패드 프로크리에이트 앱으로 이모티콘을 그리고, 포토샵 필수 기능으로 마무리해서 승인에 도전하자!",,
할 수 있다! 캡컷으로 영상 편집하기,오복실,"국내도서
 > 
컴퓨터/IT
 > 
멀티미디어
 > 
동영상/인터넷방송",9.79114E+12,"영상 편집 앱 다운로드 부문 1위‘캡컷’으로 쉽고 빠르게 영상 편집하자!친절한 설명과 실용적인 예제로초보자도 재미있게 학습하는 캡컷 활용서이 책은 영상 편집 앱인 ‘캡컷’ 활용서로 캡컷의 다양한 기능과 사용 방법이 수록되어 있습니다. 스마트폰으로 동영상을 촬영한 후 캡컷에서 영상을 편집하여 유튜브에 업로드하는 방법까지 따라 하기 방식으로 친절하게 설명합니다. 캡컷을 설치하는 방법부터 영상에 텍스트 추가하기, 영상에 필터 적용하기, 여러 개의 영상 합성하기 등 캡컷을 활용한 영상 편집의 기초를 배울 수 있습니다. 또한 사진이나 동영상의 인물을 보정하는 방법과 크로마키 사진을 활용해 배경을 바꾸는 등 캡컷을 조금 더 효과적으로 사용할 수 있는 다양한 편집 방법을 학습할 수 있습니다.",,
된다! 톡써니의 아이패드 24시간 활용법,홍정희(톡써니),"국내도서
 > 
컴퓨터/IT
 > 
멀티미디어
 > 
스마트폰/태블릿",9.79116E+12,"그동안 몰랐던 아이패드의 무궁무진한 능력,수동적으로 ‘보기만’ 했던 아이패드를 능동적으로 ‘활용’하는 방법 대공개!
이 책은 아이패드를 구입하기 전 확인할 내용, 구입하는 과정, 구입한 후 추천 설정을 초보자의 눈높이에 맞춰 소개한다. 또한 아이패드에서 사용할 필수 앱, 다른 기기와 연동하는 방법, 문제가 생겼을 때 바로 해결하는 방법까지 알려 준다. 7만 구독자를 보유한 IT/가전/테크 유튜버 ‘톡써니’는 아이패드의 무궁무진한 활용성을 영상으로 제작해 왔다. 누적 조회수 1,100만 '톡써니 테크' 채널에서 소개한 아이패드 구매 팁과 추천 설정, 업무/육아/취미 생활에 아이패드를 활용하는 방법을 이 책에 모두 수록했다. 특히, 이번 개정판에는 잠금 화면 위젯, 스테이지 매니저 등 iPadOS 17 업데이트로 달라진 점과 아이에게 아이패드를 줄 때 필요한 설정, 세세한 꿀팁까지 더욱 알차게 담았다. 직장인이라면 아이패드의 이메일, 미리 알림, 메모, 아이워크 등을 활용해 업무 생산성을 좀 더 높일 수 있다. 학생이라면 아이패드를 활용해 더욱 편리하고 효율적으로 공부할 수 있다. 엄마 아빠라면 워크시트와 교육용 앱 등을 이용해 아이에게 부족한 학습을 보충해 줄 수 있다. 아이에게 아이패드를 선물해 줄 예정이라면 아이를 위한 아이패드 설정도 빠르게 해결할 수 있다. 그뿐만 아니라 아이패드 인기 앱 프로크리에이트로 드로잉하고, 굿노트로 다이어리를 쓰며 다양한 취미 생활을 즐길 수도 있다. 아이패드를 다른 기기와 연동하는 방법도 친절하게 설명한다. 끝으로, 열심히 아이패드를 사용하다 고장이 났다고 해도 걱정할 필요 없을 만큼 다양한 문제 해결법까지 담겨 있다. 아이패드의 시작부터 끝까지 다룬 이 책과 함께라면 ‘애플 생태계’에 첫 발을 들인 여행자도 어렵지 않게 탐험할 수 있다. 여태까지 아이패드를 단순히 넷플릭스나 유튜브를 보는 용도로만 사용해 왔다면, 이제부터는 ‘애플답게’ ‘똑똑하게 잘’ 활용할 수 있기를 바란다.",,
프로크리에이트 드림 2D 애니메이션 with 아이패드,정진호,"국내도서
 > 
컴퓨터/IT
 > 
멀티미디어
 > 
동영상/인터넷방송",9.79119E+12,"‘프로크리에이트 드림’ 국내 최초 입문서!나만의 애니메이션 스튜디오를 만드세요.
움직이는 짧은 영상이 대세인 시대, 움직임 없는 그림에 아쉬움을 느껴 왔다면 이제 애니메이션을 만드는 즐거움에 빠져 볼 때다. 이 책은 프로크리에이트 드림 앱으로 애니메이션을 만들고 싶은 사용자를 위한 국내 최초 입문서다. 다양한 주제의 프로젝트를 완성하며 애니메이션 제작의 기본기를 쌓을 수 있도록 구성되었다.저자가 엄선한 예제로 ‘연출 모드’, ‘키프레임 추가’, ‘플립북’ 등 총 3가지의 기본 애니메이션 제작 방식을 알기 쉽게 설명해 누구든 시작할 수 있으며, 프로크리에이트 드림에 익숙해진 뒤에는 10가지 레슨 프로젝트를 통해 실력을 향상할 수 있게 만들었다. 연습에 필요한 모든 예제 파일을 제공하고 있으며, 미리 보기로 완성된 애니메이션을 확인하며 자기만의 애니메이션 세계를 찾아가 보자. 내가 그린 그림이 생명을 갖고 움직이는 모습에 빠져들 준비가 되었다면 이제 출발하자!",,
2024 나합격 전산응용건축제도기능사 필기+무료특강,김수진,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.79119E+12,한 권으로 한 번에 합격하자!!나합격 100%만의 합격 비법STEP 01 스터디 플래너로 시험 계획 세우기STEP 02 쏙쏙 들어오는 이론구성으로 개념완성STEP 03 기출문제 풀기 전 / 시험장 가기 전 ‘후다닥 합격족보’로 최종마무리STEP 04 기출&CBT복원문제 풀이로 실력을 UP!나합격 수험생만의 특별한 혜택01 전과목 무료동영상 강의 제공02 나합격 수험생 지원센터[시험정보&질의응답 등] 운영NAVER 카페 [나합격]을 검색해보세요.,,
Do it! 오토캐드 2025,박한울,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
건축CAD
 > 
AUTOCAD",9.79116E+12,"평면도 그리기부터 치수 문제 해결까지!초보자도 6일이면 설계 도면 그린다!
7년 동안 독자의 의견을 꾸준히 반영해 업그레이드한 베스트셀러 《Do it! 오토캐드》가 최신 2025 버전으로 출간되었습니다. 이 책은 오토캐드가 처음인 초보자를 위해 평면도 그리기부터 치수 문제 해결까지, 오토캐드의 A to Z를 6일 안에 배울 수 있도록 설계했습니다. 게다가 책 내용을 그대로 담은 동영상 110강, 모든 버전에서 가능한 실습 파일, 16주 완성 진도표를 제공하며 국가직무능력표준 NCS의 2D 도면 작성 모듈의 조건을 충족해 교재로 사용해도 손색이 없습니다. 오토데스크 기술지원사에서 근무하면서 실무자 수백 명의 질문을 해결해 온 저자가 ‘작업 속도가 빨라지는 24가지 비법’도 소개합니다. 단축 명령어 정리는 물론, 최신 2025 신기능 PDF까지 제공해 실무자들의 가려운 곳까지 긁어 주는 책입니다.오토캐드를 처음 배우는 사람들 사이에서 ‘교과서’로 인정받은 이 책으로 시작해 보세요!",,
2024 나합격 전산응용기계제도기능사 필기+무료특강,나합격 콘텐츠 연구소,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용기계제도기능사",9.79119E+12,"한 권으로 한 번에 합격하자!!나합격 100%만의 합격 비법STEP 01 스터디 플래너로 시험 계획 세우기STEP 02 쏙쏙 들어오는 이론구성으로 개념완성STEP 03 기출문제 풀기 전 / 시험장 가기 전 ‘후다닥 합격족보’로 최종마무리STEP 04 기출문제 풀이로 유형을 잡고, CBT 복원문제로 합격잡자!나합격 시크릿 팁!이제 더 이상 혼자 공부하지 마세요.SECRET 01 - 전 과목 무료동영상 강의 제공SECRET 02 - 나합격 수험생 지원 센터 운영NAVER 카페 [나합격]을 검색해보세요.",,
Play! SOLIDWORKS 솔리드웍스 2024 Advance,원동현,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
설계프로그램
 > 
솔리드웍스",9.79119E+12,"- 솔리드웍스 2024 버전을 기준으로 실무에서 꼭 필요한 판금, 곡면, 용접구조물, 금형 4가지 의 모듈에 집중하여 내용을 구성했습니다. - 프로그램의 최신버전과 이전 버전에 따라 변경된 부분, 특히 파일 저장 위치, 파일 생성 방식 등 시스템적인 변화에 대한 비교 설명을 통해 모든 버전의 사용자가 학습할 수 있도록 학습 편의성을 높였습니다.- 솔리드웍스 2024 버전과 2017 버전, 두 가지 버전의 예제 파일을 제공합니다. - 교재의 예제파일에 대해 설명하는 동영상 강의와 함께, 교재에 수록되지 않은 다양한 형태의 연습문제와 풀이과정을 동영상강의로 별도 제작하여 제공합니다. ( 유튜브 채널 플레이! 솔리드웍스 youtube.com@PLAY_SOLIDWORKS )- 솔리드웍스 사용자모임 커뮤니티 SWUGN KOREA 와 오프라인 재직자 교육을 통해서 독자 여러분들이 제안해 주신 내용들을 반영하여 내용을 구성했습니다.- 저자와 독자가 소통할 수 있는 공간을 통해 교재에 대한 질문과 해결방안을 받을 수 있습니다. ( 솔리드웍스 네이버 카페 cafe.naver.com/playsw )",,
2024 에듀윌 전산응용건축제도기능사 필기+무료특강 2주끝장,민영기,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.79114E+12,단 한권으로 핵심이론+9개년 기출+이론 전과목 무료특강!빈출 내용을 색자로 표시한 핵심이론 수록 및 이론 전과목 무료특강 제공9개년 기출복원문제 수록엄선한 최빈출 120제와 해설특강으로 최종 마무리,,
2024 스마트 전산응용건축제도기능사 실기,황두환,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.78893E+12,"최신 출제기준을 반영한 이 책은 CAD 경력 20년의 저자 노하우가 담겨있습니다. 책의 과정은 동영상 강의로 따라 할 수 있어 책만 볼 때 어렵게 느껴지던 부분을 쉽게 이해할 수 있고 단면도, 상세도, 입면도 등 도면 작성에 필요한 방법을 상세히 알려줍니다. 작업 된 예제는 3차원 모델로 작성되어 과정의 이해도를 높였고, 자격증 취득을 위한 조건과 실제 시험장에서의 도면 작성 방법도 알려줍니다. 또한 실기시험에서 가장 많이 사용되는 명령 45가지를 설명하여 도면 작성에 필요한 기본 명령을 학습할 수 있습니다.",,
2024 나합격 전산응용건축제도기능사 실기+무료특강,김수진,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.79119E+12,"오토캐드를 이용하여 시험을 치르는 본 시험은 시험장마다 그 버전이 달라 어려움을 겪는 분들이 많습니다. 나합격 전산응용건축제도기능사 교재는 오토캐드 2016 버전을 기반으로 집필되었지만 다른 환경의 이용자들을 위해 다양한 방법과 팁 등을 제공하고 있습니다. 기본 명령어를 익히고, 도면 보는 법을 이해한다면 나머지는 열심히 그리는 일만 남습니다. 또한 그 과정을 돕기 위해 무료동영상 강의를 제공하여 독자분들의 학습을 돕고 있습니다.",,
AutoCAD 오토캐드 2024 한글판 기본+활용,박석용,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
건축CAD
 > 
AUTOCAD",9.79119E+12,"이 교재는 기계 설계 업무를 수행하는 동안에 도면 작성을 위해 AutoCAD 프로그램을 배우고자 하는 초보자에게 AutoCAD에서 지원하고, 이용할 수 있는 중요한 명령(Command), 옵션(Option) 및 도구(Tool)들의 사용법을 설명하고, 그 특성들을 소개해서 독자들이 스스로 그 기능들을 완벽하게 습득할 수 있는 기초 학습 안내서입니다.이 AutoCAD 2024 기본+활용 교재에서는 기존의 도형 작도법은 물론이고, AutoCAD 2006 릴리즈 버전에서부터 추가된 동적 모드 입력(Dynmode Input) 기능에 의한 Head-up Design 및 Polar Tracking(극좌표 추적) 기능을 설정해서 AutoCAD 2024 릴리즈 버전의 새로운 도형 작도법을 추가하고자 노력했습니다.이러한 새로 추가된 도형 작도법은 AutoCAD 2010 이후의 릴리즈 버전에서도 문제없이 적용할 수 있을 것입니다. 다만 주의해야 할 점은 AutoCAD 초보자는 기존의 도형 작도법을 먼저 완벽하게 익힌 다음에 새로운 도형 작도법을 익혀서 사용하기를 당부드립니다.이 교재의 모든 내용을 처음부터 끝까지 정독하고, 제공된 다양한 과제 도면을 AutoCAD를 사용해서 작도함으로써 자연스럽게 기계 제도와 AutoCAD 명령과 옵션 그리고 도형 작도법을 동시에 숙달함으로써 진정한 기계 엔지니어로서 AutoCAD를 배우고, 도면을 작성하고, 그 기능들을 설계 실무에서 다양하게 활용하게 된다면, AutoCAD의 뛰어난 기능들과 숨겨진 진정한 가치들을 느끼고 발견하게 될 것입니다.",,
"CAT CAD 실무능력평가 1,2급 AutoCAD",홍성기,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
건축CAD
 > 
AUTOCAD",9.78893E+12,2D 도면작성 능력을 검증하는 2급 시험과 3차원 모델링 능력을 검증하는 1급 시험을 대비함은 물론이고 초보에서 실무자 모두에게 캐드의 기초에서 3차원까지 핵심을 한눈에 알 수 있도록 구성하였습니다.,,
Win-Q 전산응용기계제도기능사 필기 단기합격,홍순규,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용기계제도기능사",9.79114E+12,"Win-Q 전산응용기계제도기능사는 다음과 같이 구성되었다!PART 01은 핵심이론+핵심예제로 구성되었다. 필수적으로 학습해야 하는 중요한 핵심이론들을 각 과목별로 분류하여 수록하였고 시험에 자주 나오는 핵심예제를 엄선해 이론과 문제를 한 번에 학습할 수 있도록 하였다.PART 02는 과년도+최근 기출복원문제로 구성되었다. 과년도 기출문제의 상세한 해설을 통해 핵심이론만으로는 아쉬운 내용을 보충 학습하고, CBT 시행에 따라 2023년 최근 기출복원문제를 통하여 가장 최신의 출제경향을 파악할 수 있도록 하였다.이외에 학생들이 꼭 알고 시험에 응시해야 할 핵심키워드만을 엄선한 합격비법 핵심요약집 빨간키를 수록하여 시험에 완벽하게 대비할 수 있도록 하였다.유튜브에서 시대에듀를 검색하시면 무료 동영상 강의를 들으실 수 있습니다.",,
전산응용기계제도 실기 출제도면집,권신혁,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용기계제도기능사",9.78893E+12,"77개의 실전 과제도면시험에 자주 출제되는 유형별로 과제도면, 2D부품도(모범답안), 3D조립도, 3D구조도 등으로 구성했으며, 형상의 이해를 돕기 위해 주요 부품 별로 채색이 되어 있습니다.또한 과제도면에 부품명 및 적용된 재질을 표기했습니다.(교육용이며 실제 시험에서는 제시되지 않습니다.)",,
오토캐드 40시간 완성,신동진,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
건축CAD
 > 
AUTOCAD",9.79119E+12,수년간의 직업능력개발훈련 및 교육 노하우를 바탕으로 오토캐드를 처음 접하는 독자의 입장에서 작성된 교재입니다. - 불필요한 내용을 버리고 실무에 필요한 기능만 담았습니다. - 효과적인 학습방법으로 높은 학업성취를 달성할 수 있도록 내용을 구성하였습니다.- 학습 진도에 적절한 연습도면을 완성해봄으로써 단기간에 실력을 향상시킬 수 있습니다.본 교재를 통해 오토캐드 전문가로 성장할 수 있기를 기원합니다.,,
2024 스마트 전산응용건축제도기능사 필기,황두환,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.78893E+12,"비전공자, 입문자도 쉽게 학습할 수 있는 완벽한 지침서필기시험 관련 교재의 대부분이 내용을 이해하는 데 설명이 충분치 않고 이론 위주로 서술되어 있어서 내용을 이해하기보다는 암기를 유도하는 방식으로 구성되어 있다. 건축을 처음 접하거나 실무 경험이 전혀 없는 학생들은 전문적인 내용을 이해하기가 쉽지 않아서 다른 전문서적이나 인터넷 검색을 통해 내용을 찾아보는 경우가 많다.이에 필자는 건축 전공자나 실무자가 아니더라도 쉽게 이해할 수 있도록 용어의 해설과 충분한 그림을 통해 이해도를 높이고, 필기시험을 준비하면서 문제와 정답만 암기하는 것이 아니라 건축의 전문적인 내용을 학습할 수 있는 효과적인 교재의 필요성을 통감하고 이 교재를 집필하였다. 저자의 19년 강의 노하우가 녹아 있는 이 책이 전산응용건축제도기능사 필기시험을 준비하는 이들에게 합격으로 이끄는 지침서가 될 것이라 확신한다.",,
2024 전산응용건축제도기능사 필기,정한철,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.79117E+12,■ 본 교재의 특징은[전과목 무료동영상]ㆍ고화질 전자칠판 무료인강[집필진의 노하우]ㆍ강단 경력 20년 이상의 강사진이 직접 가르쳐 오던 내용을 핵심요약으로 구성하였습니다.[단기 완성 추천서]ㆍ국가기술자격증 최다보유자(이승우)가 추천하는 전문 단기 수험서로써 최선을 다하였습니다.[출제빈도가 높은 설명에 별 표시]ㆍ단기간 합격에 부합되도록 ‘ ’표시를 하여 ‘단기 완성’이라는 목표에 만전을 기하였습니다.,,
오토캐드 AutoCAD LT 도면 작성 강의,하가 유리,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
건축CAD
 > 
AUTOCAD",9.79119E+12,"가장 쉽고 빠르게, 그리고 제대로 배울 수 있는 오토캐드 AutoCAD LT 입문서!저자는 20년 이상을 CAD 실무와 강의를 하면서 ‘어떻게 하면 더 쉽고, 제대로 CAD를 가르칠 수 있을까?’를 고민하였고, 그 결과 초보 수강생들에게 늘 ‘도형을 그리고 싶은데, 이때는 어떤 기능을 사용하면 좋을까?’를 생각하는 연습이 필요하다고 이야기합니다. 이런 저자의 학습 방법은 이 책에도 고스란히 담겨 있습니다. 무작정 실습을 하기보다는 결과물을 미리 보고 어떤 명령을 사용하는지 소개한 후 점차 구체적인 방법을 알려 줍니다. 학습자는 단계별 학습을 통해 스스로 도면 작성 방법을 고민하게 되고, 그러면서 실력은 차곡차곡 쌓이게 될 것입니다. 처음 시작하는 입문자도 전혀 걱정할 필요 없습니다. 왕초보도 어려움 없이 AutoCAD LT를 배울 수 있도록 가장 기본이 되는 명령부터 실제 도면 작성 흐름 파악까지 체계적으로 구성하였으며, 스스로 실력을 점검할 수도 있도록 다양한 연습 문제를 포함하고 있습니다.",,
개념탑재 오토캐드,정인수,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
건축CAD
 > 
AUTOCAD",9.79119E+12,"CAD는 기계, 건축, 전기 등 여러 산업분야에서 설계 및 제조를 하기 위해 사용하고 있으며, 이제는 제법 많은 곳에서 3D CAD를 도입하고 사용하고 있지만, 산업 현장을 방문하거나 기업체 강의를 진행하다 보면 매년 AutoCAD 활용하는 사용자가 줄어들지 않고 늘어나는 것을 알 수 있습니다.   AutoCAD는 여러 산업분야에서 2D 도면을 작성하고 수정하는 데 사용하며, 맡은 직무에 따라서 활용도와 목적이 다릅니다. 간단하게 도면을 수정하거나 인쇄하기 위해 AutoCAD를 활용하는 사용자가 있지만, 기초 설계 단계에서 레이아웃 및 컨셉을 구성하고 상세 설계를 하는데 AutoCAD를 활용하는 사용자도 많이 있습니다.   이처럼 활용도가 높은 AutoCAD를 잘 다루기 위해 많은분들은 시중에 출판된 도서나 Youtube, 오프라인 강의 등을 통해 학습하고 있지만 이렇게 많은 정보의 홍수 속에서 어떻게 하면 AutoCAD를 쉽고 빠르게 익힐 수 있도록 가이드 할 수 있을까 고민하다가 본 도서를 출판하게 되었습니다.",,
따라하면 합격이다! CAT CAD실무능력평가 2급,주형권,"국내도서
 > 
컴퓨터/IT
 > 
CAD
 > 
CAD자격증
 > 
CAD자격증일반",9.79119E+12,"합격률을 높이기 위해 한국ATC센터가 직접 집필한 한국생산성본부 공식 인증 수험서!
“따라하면 합격이다 CAT CAD실무능력평가(CAT) 2급” 3판은 ㈜한국ATC센터 필진이 새롭게 변경된 출제 경향에 맞게 전체 내용과 기출문제와 예상문제 등 다양한 문제들을 전면 개정하였다. 이번 3판 책은 AutoCAD 기초 내용은 물론 CAD실무능력평가(CAT) 2급 시험 합격에 꼭 필요한 이론은 물론 실기 시험에 꼭 필요한 실무 노하우들을 더 자세히 기술하였다. 이 책은 교육시장에서 요구하는 AutoCAD의 실무활용능력을 향상시킬 수 있는 필수 명령어의 활용법. 도면 작성법 중 해독 능력과 투상 능력을 요구하는 ‘제3각법’ 도면작성법에 대한 상세한 설명. 그리고 CAD실무능력평가(CAT) 2급 시험에서 요구하는 도면 작성 및 배치, 출력 환경설정 등에 대해 상세히 설명하고 있기 때문에, AutoCAD를 처음 접하는 사용자도 독학으로 프로그램을 익히고 시험을 응시해서 합격할 수 있는 가이드를 마련하고 있다.이 책은 독학으로 CAD실무능력평가 시험에 합격할 수 있도록 다음 내용을 제공한다.첫째, 한국ATC센터 필진이 직접 집필하였고, 궁금한 내용은 직접 답변해준다. 둘째, CAT 2급 최신 기출문제를 충분히 풀어볼 수 있도록 다수 제공한다. 셋째, 한국ATC센터 필진이 업선한 적중률 높은 출제 예상 문제를 제공한다.네째, 출제기준을 100% 반영한 예상문제 및 문제풀이 동영상을 제공한다.책을 보면서 궁금한 사항은 한국ATC센터 카페의 도서 Q&A 코너에서 문의하고 답변을 받을 수 있다. 또한 도서에서 사용한 실습 자료는 물론 CAD실무능력평가(CAT) 2급 시험에 관한 다양한 최신 정보를 얻을 수 있다. ※ 이 책의 실습에 필요한 예제 소스 파일 및 동영상 이용 방법은 10쪽을 참조한다.※ CAD실무능력평가(CAT) 2급 시험에 관한 자세한 내용은 4~9쪽을 참조한다.",,
2025 독학 전산응용건축제도기능사 필기,김희정,"국내도서
 > 
기술/공학
 > 
건축/인테리어
 > 
건축자격증
 > 
전산응용건축제도기능사",9.78893E+12,"이 책으로 시험을 준비하는 수험생 여러분은 아마도 처음 이 분야의 공부를 시작하는 분들이라 생각하기에 먼저 그 도전과 용기에 힘찬 응원의 박수를 보내드리고 싶습니다. ‘전산응용건축제도기능사’ 시험은 1998년에 시작되어 20년 이상 되었지만 ‘건축’에 대한 기본적인 개념과 원리는 크게 변하지 않았고, 이 과목 자체가 기초적인 입문 단계에 속하므로 까다롭거나 어려운 문제를 내는 경우는 아주 드뭅니다. 대신 대부분 건축을 하면서 꼭 알아야 하는 내용의 정의나 용어 이해 등을 문제은행식으로 출제하고 있습니다. 따라서 이 책에서는 생소한 과목에 처음 도전하는 분들이 좀 더 정확하고 수월하게 기본적인 개념을 이해하고 정리할 수 있도록 정의, 개념 위주의 해설로 구성하였습니다. 이 책을 한 번 정도 찬찬히 읽어보고 과년도 기출문제를 직접 풀어보면서 이해한 부분을 확인한다면 시험을 그리 어렵지 않게 통과할 것이라 확신합니다. 이에 이 책은 자격시험을 준비하는 수험생에게 유용하도록 집필하였으며 다음과 같이 구성하였습니다.[본문 내용]?개념과 용어 해설 위주로 요약정리?이해를 돕기 위해 표, 그림 등 시각자료 다수 수록?상세하고 쉬운 예제 풀이[문제풀이·핵심요약집]?과년도 기출문제, CBT 모의고사 수록?빈출 문제로만 엄선한 콕집 200제?시험 전에 100% 활용할 수 있는 핵심요약집[동영상 강의]?예문사 홈페이지에서 본문(1~7편) 무료 동영상 강의 수강?유튜브(김희정 _파란여우)에서 다양한 참고 동영상 시청",,
